Uniprot id,Gene,Pep Count,log2_fc,q-value
Q658P3,STEAP3,7,-0.31,0.072863
P10721,KIT,35,-0.314,0.105561
Q15768,EFNB3,5,-0.314,0.131002
P30419,NMT1,5,-0.316,0.113837
Q99828,CIB1,3,-0.317,0.096019
P53680,AP2S1,8,-0.319,0.14607
P23396,RPS3,21,-0.319,0.074853
P42336,PIK3CA,2,-0.319,0.075665
P53396,ACLY,49,-0.32,0.096326
Q9NTN9,SEMA4G,5,-0.32,0.057767
O43318,MAP3K7,6,-0.323,0.101062
P09603,CSF1,2,-0.323,0.174099
Q13586,STIM1,6,-0.326,0.113843
P25054,APC,5,-0.326,0.116825
Q01844,EWSR1,5,-0.329,0.071702
P36404,ARL2,10,-0.333,0.113136
Q9NY33,DPP3,3,-0.334,0.051699
Q9H4L5,OSBPL3,14,-0.334,0.0526
P61020,RAB5B,8,-0.338,0.088862
P56962,STX17,5,-0.341,0.106008
Q9NTI2,ATP8A2,15,-0.342,0.070869
Q8IWB1,ITPRIP,7,-0.345,0.054872
P42356,PI4KA,39,-0.346,0.050643
O00762,UBE2C,6,-0.347,0.069778
Q9HAU4,SMURF2,3,-0.35,0.094507
P54760,EPHB4,38,-0.364,0.049282
P67870,CSNK2B,2,-0.367,0.105204
Q13191,CBLB,2,-0.369,0.130881
Q9NS86,LANCL2,11,-0.369,0.038158
Q86YL7,PDPN,2,-0.37,0.094316
P46939,UTRN,112,-0.372,0.110029
Q14689,DIP2A,2,-0.372,0.083219
Q6NW40,RGMB,2,-0.375,0.134153
O75534,CSDE1,30,-0.377,0.03172
P04632,CAPNS1,4,-0.381,0.05175
Q9UBC2,EPS15L1,3,-0.383,0.035921
Q15084,PDIA6,19,-0.385,0.076785
Q8WUD1,RAB2B,3,-0.385,0.043783
Q14160,SCRIB,68,-0.388,0.065824
Q2PPJ7,RALGAPA2,12,-0.392,0.021197
Q96AC1,FERMT2,18,-0.393,0.035358
O95782,AP2A1,19,-0.399,0.032527
Q8WXG6,MADD,4,-0.403,0.048696
Q86UE4,MTDH,2,-0.409,0.042118
O43900,PRICKLE3,3,-0.41,0.035459
Q86YS7,C2CD5,29,-0.413,0.031159
P61106,RAB14,11,-0.414,0.046107
O60784,TOM1,15,-0.415,0.01779
Q9Y2G3,ATP11B,10,-0.416,0.02474
O75386,TULP3,4,-0.416,0.024141
Q9BZE9,ASPSCR1,3,-0.416,0.033135
P32019,INPP5B,9,-0.419,0.029189
Q5VVJ2,MYSM1,4,-0.426,0.023958
Q12933,TRAF2,6,-0.43,0.047349
Q9BR76,CORO1B,5,-0.431,0.043776
Q14574,DSC3,3,-0.435,0.124571
P19174,PLCG1,20,-0.437,0.011854
O75387,SLC43A1,8,-0.437,0.036946
Q8N697,SLC15A4,3,-0.44,0.093556
P23443,RPS6KB1,2,-0.442,0.028093
Q16625,OCLN,12,-0.446,0.022676
O43795,MYO1B,46,-0.45,0.012932
Q05193,DNM1,2,-0.451,0.014703
Q86WJ1,CHD1L,14,-0.458,0.041042
Q13418,ILK,18,-0.459,0.024822
Q5JTD0,TJAP1,7,-0.464,0.033643
Q53EZ4,CEP55,2,-0.469,0.022266
Q9NX76,CMTM6,4,-0.47,0.082966
P07099,EPHX1,4,-0.471,0.030145
Q99816,TSG101,15,-0.471,0.013259
O95297,MPZL1,6,-0.477,0.02634
P61026,RAB10,8,-0.481,0.054925
Q15286,RAB35,8,-0.482,0.016133
Q13555,CAMK2G,7,-0.483,0.03115
Q5T0N5,FNBP1L,12,-0.484,0.018914
P78504,JAG1,19,-0.485,0.019926
P41440,SLC19A1,9,-0.487,0.019214
Q9NP72,RAB18,10,-0.491,0.025627
Q969H4,CNKSR1,5,-0.494,0.012388
P54278,PMS2,3,-0.498,0.016179
Q14392,LRRC32,2,-0.501,0.076988
O60716,CTNND1,52,-0.501,0.014652
Q9H0M0,WWP1,10,-0.501,0.009057
Q96D53,COQ8B,8,-0.502,0.014144
P42684,ABL2,6,-0.502,0.008928
Q3V6T2,CCDC88A,6,-0.504,0.012962
P16422,EPCAM,22,-0.504,0.01453
P54851,EMP2,2,-0.513,0.008679
Q9Y4G6,TLN2,59,-0.514,0.009464
Q9Y6G9,DYNC1LI1,13,-0.515,0.010697
Q92823,NRCAM,21,-0.517,0.027332
Q14542,SLC29A2,5,-0.517,0.010007
O14495,PLPP3,7,-0.523,0.016946
P60953,CDC42,4,-0.524,0.016519
Q8NAC3,IL17RC,3,-0.527,0.017286
P49023,PXN,9,-0.534,0.016459
Q04759,PRKCQ,8,-0.536,0.009877
Q8IWT6,LRRC8A,39,-0.538,0.01235
Q8NC51,SERBP1,19,-0.542,0.007178
Q15811,ITSN1,7,-0.545,0.012332
Q13613,MTMR1,7,-0.546,0.005147
Q96EP0,RNF31,7,-0.547,0.018633
Q9Y3L5,RAP2C,3,-0.549,0.014182
Q04917,YWHAH,17,-0.549,0.004214
Q9NW15,ANO10,6,-0.549,0.006196
Q8IXI2,RHOT1,7,-0.553,0.00551
P62136,PPP1CA,2,-0.554,0.008422
P51810,GPR143,2,-0.555,0.004336
Q13557,CAMK2D,5,-0.556,0.005631
Q96KG7,MEGF10,5,-0.558,0.082928
Q8TEU7,RAPGEF6,11,-0.562,0.008095
Q6ZTN6,ANKRD13D,2,-0.562,0.013165
Q13572,ITPK1,6,-0.566,0.009738
P25116,F2R,4,-0.569,0.041553
P16333,NCK1,6,-0.569,0.004898
P54578,USP14,13,-0.584,0.005524
P46531,NOTCH1,27,-0.586,0.014189
P08473,MME,38,-0.587,0.037567
Q14156,EFR3A,22,-0.587,0.004419
Q4KMP7,TBC1D10B,18,-0.588,0.005044
P36894,BMPR1A,14,-0.59,0.008888
Q8IWU6,SULF1,2,-0.594,0.364497
Q9BYI3,FAM126A,3,-0.595,0.003827
Q9NZN4,EHD2,3,-0.595,0.002782
Q9NZ53,PODXL2,5,-0.598,0.018108
P27037,ACVR2A,9,-0.599,0.023851
Q13490,BIRC2,6,-0.601,0.005011
Q9UM54,MYO6,42,-0.602,0.004768
Q9UL25,RAB21,8,-0.604,0.013753
O95630,STAMBP,4,-0.605,0.002707
P35241,RDX,9,-0.608,0.004008
O60486,PLXNC1,2,-0.611,0.00612
Q16832,DDR2,2,-0.613,0.00968
P10644,PRKAR1A,5,-0.613,0.007704
Q96NW4,ANKRD27,2,-0.615,0.003262
Q9H2Y9,SLCO5A1,2,-0.621,0.455533
Q86TV6,TTC7B,6,-0.623,0.002891
Q8IYB5,SMAP1,2,-0.625,0.001496
P50281,MMP14,20,-0.631,0.010645
O94973,AP2A2,16,-0.64,0.004197
Q9Y4D1,DAAM1,18,-0.643,0.001719
Q96CW1,AP2M1,13,-0.644,0.00274
O00443,PIK3C2A,35,-0.648,0.00141
P84095,RHOG,7,-0.654,0.002399
Q96CP7,TLCD1,3,-0.655,0.003766
P18433,PTPRA,43,-0.661,0.005512
O15484,CAPN5,20,-0.663,0.001241
Q9P2S2,NRXN2,12,-0.666,0.308629
Q6F5E8,CARMIL2,2,-0.667,0.016283
O75197,LRP5,7,-0.668,0.005318
Q08AE8,SPIRE1,2,-0.67,0.090813
O43688,PLPP2,3,-0.671,0.002673
Q14680,MELK,14,-0.672,0.005802
Q9NUP9,LIN7C,6,-0.673,0.001859
Q14444,CAPRIN1,5,-0.675,0.001756
O60462,NRP2,26,-0.676,0.066507
O75970,MPDZ,49,-0.681,0.001812
Q07157,TJP1,27,-0.684,0.001828
O75044,SRGAP2,30,-0.685,0.009331
Q9NYJ8,TAB2,4,-0.69,0.002917
P63218,GNG5,2,-0.691,0.022131
P01111,NRAS,4,-0.692,0.00146
P28906,CD34,4,-0.695,0.010296
Q9Y5Z0,BACE2,4,-0.697,0.004265
P48059,LIMS1,5,-0.698,0.002242
Q6YBV0,SLC36A4,2,-0.699,0.000659
P23467,PTPRB,5,-0.703,0.001615
P49903,SEPHS1,7,-0.707,0.001227
Q9HCM3,KIAA1549,17,-0.714,0.002024
P55011,SLC12A2,61,-0.718,0.000991
Q9BRV3,SLC50A1,2,-0.721,0.010048
O95197,RTN3,4,-0.722,0.003226
P62070,RRAS2,14,-0.724,0.002126
Q9P258,RCC2,25,-0.728,0.000609
P19256,CD58,3,-0.731,0.001729
P25445,FAS,4,-0.738,0.01867
Q9HCU4,CELSR2,47,-0.739,0.001851
Q9H0Q3,FXYD6,3,-0.744,0.002917
P05067,APP,16,-0.744,0.041778
O94886,TMEM63A,8,-0.749,0.000454
O00468,AGRN,14,-0.751,0.103243
Q9HD67,MYO10,18,-0.754,0.027601
P0CG47,UBB,2,-0.756,0.001107
Q9NQC3,RTN4,10,-0.757,0.004062
Q9ULQ1,TPCN1,21,-0.757,0.000577
Q13641,TPBG,10,-0.763,0.001019
Q96BD0,SLCO4A1,4,-0.769,0.002491
P19438,TNFRSF1A,5,-0.771,0.001527
Q8NCM8,DYNC2H1,21,-0.776,0.001908
Q8NDI1,EHBP1,6,-0.779,0.000558
P49841,GSK3B,7,-0.779,0.000378
Q14573,ITPR3,6,-0.781,0.001684
Q9UGQ3,SLC2A6,4,-0.784,0.000457
P06733,ENO1,20,-0.785,0.008611
Q9Y2H0,DLGAP4,10,-0.789,0.000662
O94832,MYO1D,15,-0.789,0.00033
P33121,ACSL1,3,-0.801,0.007538
Q16288,NTRK3,2,-0.803,0.002908
P00390,GSR,6,-0.803,0.000412
Q9H4M9,EHD1,6,-0.809,0.000647
P21860,ERBB3,24,-0.81,0.006202
Q7KZI7,MARK2,12,-0.81,0.000622
P41217,CD200,4,-0.813,0.001516
Q9NRU3,CNNM1,2,-0.814,0.021318
Q16850,CYP51A1,17,-0.816,0.000772
P51805,PLXNA3,20,-0.817,0.003665
Q8ND76,CCNY,8,-0.82,0.000499
O75326,SEMA7A,3,-0.823,0.154347
P08754,GNAI3,6,-0.828,0.000509
Q9UN70,PCDHGC3,6,-0.828,0.110335
P53794,SLC5A3,9,-0.837,0.00111
Q01484,ANK2,8,-0.84,0.001661
Q14964,RAB39A,4,-0.842,0.000658
Q9ULP9,TBC1D24,4,-0.843,0.000515
Q9H910,JPT2,6,-0.845,0.000187
Q5T3F8,TMEM63B,11,-0.848,0.000311
P62993,GRB2,15,-0.853,0.000251
Q96BS2,TESC,2,-0.854,0.001607
Q9NZW5,MPP6,34,-0.858,0.000725
Q9UKZ4,TENM1,2,-0.859,0.03845
Q12955,ANK3,39,-0.861,0.000372
P32856,STX2,4,-0.862,0.000204
Q9NZ09,UBAP1,7,-0.873,0.000456
Q9HBM0,VEZT,10,-0.876,0.002127
Q14642,INPP5A,8,-0.877,0.000257
P61266,STX1B,3,-0.878,0.000289
Q96SB4,SRPK1,6,-0.88,0.000187
P09429,HMGB1,5,-0.881,0.003795
Q00536,CDK16,2,-0.881,0.000382
Q8WZ73,RFFL,4,-0.887,0.000248
Q9Y508,RNF114,5,-0.89,0.000203
Q9NP58,ABCB6,20,-0.892,0.000165
P08238,HSP90AB1,42,-0.893,0.001524
Q8N4T4,ARHGEF39,7,-0.895,0.002319
P11362,FGFR1,18,-0.897,0.000393
Q13492,PICALM,15,-0.898,0.000233
P50148,GNAQ,4,-0.903,0.005939
Q8N6H7,ARFGAP2,14,-0.906,0.000367
P84085,ARF5,7,-0.908,0.001935
Q9P244,LRFN1,10,-0.908,0.000601
Q99808,SLC29A1,15,-0.908,0.000294
Q8NBJ4,GOLM1,20,-0.915,0.006716
P08183,ABCB1,7,-0.916,0.000064
O15357,INPPL1,22,-0.916,0.000256
Q9NPG1,FZD3,11,-0.917,0.001927
Q9C0H2,TTYH3,10,-0.92,0.000229
Q9Y4G8,RAPGEF2,4,-0.921,0.000104
Q9ULC3,RAB23,6,-0.926,0.000207
P30520,ADSS,10,-0.927,0.000085
Q99829,CPNE1,6,-0.928,0.000799
Q9P2J2,IGSF9,6,-0.931,0.000837
Q01968,OCRL,13,-0.935,0.000461
P00519,ABL1,6,-0.936,0.000147
P61077,UBE2D3,2,-0.937,0.000707
P48426,PIP4K2A,2,-0.939,0.000409
P25098,GRK2,3,-0.939,0.000297
O14827,RASGRF2,2,-0.942,0.02563
P50579,METAP2,5,-0.949,0.001984
P33527,ABCC1,89,-0.951,0.000368
